group;days;time ;absorbance;deltaDO;value
ctrl;day5;1;0,184;-0,078;-6,88235294117647
ctrl;day5;1;0,257;-0,217;-19,1470588235294
ctrl;day5;1;0,261;-0,224;-19,7647058823529
ctrl;day5;1;0,215;-0,13;-11,4705882352941
ctrl;day5;1;0,241;-0,184;-16,2352941176471
ctrl;day5;1;0,239;-0,178;-15,7058823529412
ctrl;day5;1;0,034;-0,002;-0,176470588235294
ctrl;day5;1;0,071;0,00600000000000001;0,529411764705883
ctrl;day5;2;0,106;-0,00599999999999999;-0,529411764705882
ctrl;day5;2;0,04;0,007;0,617647058823529
ctrl;day5;2;0,037;-0,01;-0,882352941176471
ctrl;day5;2;0,085;0;0
ctrl;day5;2;0,057;0,005;0,441176470588235
ctrl;day5;2;0,061;0,015;1,32352941176471
ctrl;day5;2;0,032;-0,007;-0,617647058823529
ctrl;day5;2;0,077;-0,00600000000000001;-0,529411764705883
ctrl;day5;3;0,1;-0,00700000000000001;-0,61764705882353
ctrl;day5;3;0,047;0,005;0,441176470588235
ctrl;day5;3;0,027;0,002;0,176470588235294
ctrl;day5;3;0,085;0,00199999999999999;0,176470588235293
ctrl;day5;3;0,062;0;0
ctrl;day5;3;0,076;0,002;0,176470588235294
ctrl;day5;3;0,025;-0,001;-0,0882352941176471
ctrl;day5;3;0,071;0,00700000000000001;0,61764705882353
ctrl;day5;4;0,093;0,001;0,0882352941176471
ctrl;day5;4;0,052;-0,01;-0,88235294117647
ctrl;day5;4;0,029;0,002;0,176470588235294
ctrl;day5;4;0,087;0,003;0,264705882352941
ctrl;day5;4;0,062;0,001;0,0882352941176471
ctrl;day5;4;0,078;0,001;0,0882352941176471
ctrl;day5;4;0,024;-0,001;-0,0882352941176471
ctrl;day5;4;0,078;0;0
10µg/L;day5;1;0,14;0,044;3,88235294117647
10µg/L;day5;1;0,05;0,066;5,82352941176471
10µg/L;day5;1;0,066;0,027;2,38235294117647
10µg/L;day5;1;0,06;0,029;2,55882352941176
10µg/L;day5;1;0,082;0,013;1,14705882352941
10µg/L;day5;1;0,129;0;0
10µg/L;day5;2;0,184;-0,011;-0,970588235294119
10µg/L;day5;2;0,116;-0,017;-1,5
10µg/L;day5;2;0,093;0,004;0,352941176470589
10µg/L;day5;2;0,089;-0,001;-0,0882352941176471
10µg/L;day5;2;0,095;-0,005;-0,441176470588236
10µg/L;day5;2;0,129;-0,012;-1,05882352941176
10µg/L;day5;3;0,173;0,005;0,441176470588236
10µg/L;day5;3;0,099;-0,005;-0,441176470588236
10µg/L;day5;3;0,097;0,011;0,970588235294117
10µg/L;day5;3;0,088;0,00800000000000001;0,705882352941177
10µg/L;day5;3;0,09;0,002;0,176470588235294
10µg/L;day5;3;0,117;0,00299999999999999;0,26470588235294
10µg/L;day5;4;0,178;0,001;0,0882352941176471
10µg/L;day5;4;0,094;-0,001;-0,0882352941176471
10µg/L;day5;4;0,108;0,002;0,176470588235294
10µg/L;day5;4;0,096;0,00699999999999999;0,617647058823529
10µg/L;day5;4;0,092;0,001;0,0882352941176471
10µg/L;day5;4;0,12;-0,028;-2,47058823529412
100µg/L;day5;1;0,082;0,048;4,23529411764706
100µg/L;day5;1;0,183;0,021;1,85294117647059
100µg/L;day5;1;0,163;0,026;2,29411764705882
100µg/L;day5;1;0,137;0,031;2,73529411764706
100µg/L;day5;1;0,047;0,029;2,55882352941176
100µg/L;day5;1;0,101;0,00499999999999999;0,441176470588234
100µg/L;day5;1;0,275;0,025;2,20588235294117
100µg/L;day5;2;0,13;-0,004;-0,352941176470589
100µg/L;day5;2;0,204;0,00700000000000001;0,61764705882353
100µg/L;day5;2;0,189;0,005;0,441176470588236
100µg/L;day5;2;0,168;0,012;1,05882352941176
100µg/L;day5;2;0,076;0,001;0,0882352941176471
100µg/L;day5;2;0,106;0,00600000000000001;0,529411764705883
100µg/L;day5;2;0,3;0,026;2,29411764705883
100µg/L;day5;3;0,126;-0,001;-0,0882352941176471
100µg/L;day5;3;0,211;-0,004;-0,352941176470589
100µg/L;day5;3;0,194;-0,00900000000000001;-0,794117647058824
100µg/L;day5;3;0,18;0,004;0,352941176470589
100µg/L;day5;3;0,077;-0,004;-0,352941176470589
100µg/L;day5;3;0,112;-0,00700000000000001;-0,61764705882353
100µg/L;day5;3;0,326;0,016;1,41176470588235
100µg/L;day5;4;0,125;-0,002;-0,176470588235294
100µg/L;day5;4;0,207;0;0
100µg/L;day5;4;0,185;0,00600000000000001;0,529411764705883
100µg/L;day5;4;0,184;0,005;0,441176470588236
100µg/L;day5;4;0,073;-0,001;-0,0882352941176471
100µg/L;day5;4;0,105;-0,00399999999999999;-0,352941176470587
100µg/L;day5;4;0,342;0,021;1,85294117647059
ctrl;day10;1;0,034;0,019;1,67647058823529
ctrl;day10;1;0,052;0,022;1,94117647058824
ctrl;day10;1;0,065;0,016;1,41176470588235
ctrl;day10;1;0,074;0,002;0,176470588235294
ctrl;day10;1;0,055;0,002;0,176470588235294
ctrl;day10;1;0,052;0,00600000000000001;0,529411764705883
ctrl;day10;2;0,053;0,007;0,617647058823529
ctrl;day10;2;0,074;0,002;0,176470588235294
ctrl;day10;2;0,081;0,004;0,352941176470589
ctrl;day10;2;0,076;0,001;0,0882352941176471
ctrl;day10;2;0,057;-0,001;-0,0882352941176471
ctrl;day10;2;0,058;0,000999999999999994;0,0882352941176465
ctrl;day10;3;0,06;-0,003;-0,264705882352941
ctrl;day10;3;0,076;-0,002;-0,176470588235294
ctrl;day10;3;0,085;-0,00900000000000001;-0,794117647058824
ctrl;day10;3;0,077;-0,026;-2,29411764705882
ctrl;day10;3;0,056;0,032;2,82352941176471
ctrl;day10;3;0,059;-0,002;-0,176470588235294
ctrl;day10;4;0,057;0,02;1,76470588235294
ctrl;day10;4;0,074;0,014;1,23529411764706
ctrl;day10;4;0,076;0;0
ctrl;day10;4;0,051;0,001;0,0882352941176471
ctrl;day10;4;0,088;-0,029;-2,55882352941176
10µg/L;day10;1;0,035;0,053;4,67647058823529
10µg/L;day10;1;0,031;0,023;2,02941176470588
10µg/L;day10;1;0,054;0,013;1,14705882352941
10µg/L;day10;1;0,05;0,015;1,32352941176471
10µg/L;day10;1;0,063;0,02;1,76470588235294
10µg/L;day10;1;0,048;0,015;1,32352941176471
10µg/L;day10;2;0,088;-0,001;-0,0882352941176471
10µg/L;day10;2;0,054;0;0
10µg/L;day10;2;0,067;-0,005;-0,441176470588236
10µg/L;day10;2;0,065;-0,001;-0,0882352941176471
10µg/L;day10;2;0,083;-0,002;-0,176470588235294
10µg/L;day10;2;0,063;-0,002;-0,176470588235294
10µg/L;day10;3;0,087;-0,001;-0,0882352941176471
10µg/L;day10;3;0,054;0,002;0,176470588235294
10µg/L;day10;3;0,062;0,001;0,0882352941176471
10µg/L;day10;3;0,064;0,001;0,0882352941176471
10µg/L;day10;3;0,081;0,002;0,176470588235294
10µg/L;day10;3;0,061;0,001;0,0882352941176471
10µg/L;day10;4;0,086;-0,00199999999999999;-0,176470588235293
10µg/L;day10;4;0,056;0,001;0,0882352941176471
10µg/L;day10;4;0,063;0,001;0,0882352941176471
10µg/L;day10;4;0,065;0,003;0,264705882352941
10µg/L;day10;4;0,083;0,00599999999999999;0,529411764705882
10µg/L;day10;4;0,062;0;0
100µg/L;day10;1;0,084;0,076;6,70588235294118
100µg/L;day10;1;0,088;0,005;0,441176470588236
100µg/L;day10;1;0,092;-0,004;-0,352941176470589
100µg/L;day10;1;0,109;-0,01;-0,88235294117647
100µg/L;day10;1;0,109;-0,024;-2,11764705882353
100µg/L;day10;1;0,056;0,033;2,91176470588235
100µg/L;day10;2;0,16;0,002;0,176470588235294
100µg/L;day10;2;0,093;0,005;0,441176470588236
100µg/L;day10;2;0,088;0,004;0,352941176470589
100µg/L;day10;2;0,099;0,016;1,41176470588235
100µg/L;day10;2;0,085;-0,005;-0,441176470588236
100µg/L;day10;2;0,089;0,00700000000000001;0,61764705882353
100µg/L;day10;3;0,162;0,00700000000000001;0,61764705882353
100µg/L;day10;3;0,098;0,003;0,264705882352941
100µg/L;day10;3;0,092;0,00700000000000001;0,61764705882353
100µg/L;day10;3;0,115;0,00299999999999999;0,26470588235294
100µg/L;day10;3;0,08;-0,001;-0,0882352941176471
100µg/L;day10;3;0,096;0,004;0,352941176470589
100µg/L;day10;4;0,169;0,00599999999999998;0,52941176470588
100µg/L;day10;4;0,101;0,000999999999999987;0,0882352941176459
100µg/L;day10;4;0,099;0,00299999999999999;0,26470588235294
100µg/L;day10;4;0,118;0,004;0,352941176470589
100µg/L;day10;4;0,079;0;0
100µg/L;day10;4;0,1;0,00299999999999999;0,26470588235294
